entreprise;type_entreprise;siren;volet_relance;mesure;nom_departement;nom_commune;code_postal;coordonnees_gps;description_projet;mesure_light;mise_a_jour;filiere;tonnes_equivalent_co2_pour_les_projets_decarbonation;code_departement;nom_region
Dalkia - Essity operations;GE;89241530800014;Verdissement;Soutien à la chaleur bas carbone;HAUT-RHIN;KUNHEIM;68320;48.0770763292, 7.54694950755;Installation biomasse de 6 MW sur le site d'Essity (substitution au gaz);Soutien à la chaleur bas carbone;2022-03-21;Papier/carton;9825.187777777777;68.0;GRAND EST
DECOLLETAGE DE LA GARENNE;TPE / PME;732821236;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;DOUBS;ORNANS;25290;47.0978221604, 6.15005274633;La société Décolletage de la Garenne est spécialisée dans l’usinage, le traitement post usinage et le montage de dispositifs médicaux. dont les chambres implantables (dispositifs insérés dans le corps du patient permettant les injections de chimiothérapie). Ces dispositifs n’ont pas évolué depuis 30 ans et posent des problèmes d’infections et de thromboses. Ces dernières années, DDLG a mené des recherches qui ont permis de trouver les opérations de protection « biocare » à mener sur les chambres implantables finies. Cette technologie permet l’application d’un revêtement carbone sur une chambre implantable, réduisant très fortement l’accroche plaquettaire et donc les risques d’infections et de thromboses. Ce projet doit permettre l’industrialisation et la commercialisation de ces chambres implantables ayant reçu ce traitement « biocare ».;Relocalisation;2021-10-26;Santé;;25.0;BOURGOGNE-FRANCHE-COMTÉ
FINORGA S.A.S.;ETI;662019322;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;PYRÉNÉES-ATLANTIQUES;MOURENX;64150;43.3740220656, -0.617464224458;Finorga SAS est une société spécialisée dans la production de principes actifs et de produits destinés à l’industrie pharmaceutique. Le site de Mourenx veut se diversifier en modifiant son unité U1 pour créer une unité de recherche développement en chimie afin de mettre au point et produire des principes hautement actifs et innovants utilisés notamment pour le traitement des cancers, avec la capacité de décrocher de nouveaux marchés et soutenir ainsi la souveraineté nationale. Près de 30 nouveaux emplois devraient être créés grâce à ce projet.;Relocalisation;2022-02-09;Santé;;64.0;NOUVELLE-AQUITAINE
TAG PLASTIQUE;TPE / PME;829003573;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;SEINE-MARITIME;CHAMPAGNOLE;76190;49.62052074314305, 0.7380951222240277;L'objectif du projet est de rapatrier la production asiatique de dispositifs médicaux à usage unique en France afin de répondre aux besoins du système hospitalier français. Ces projets permettront de confier à l’entreprise TAG PLASTIQUE l’injection des composants plastiques rentrant dans la fabrication de ces dispositifs médicaux, l’entreprise DIDACTIC finalisera la fabrication de ces produits de santé. Cette internalisation s'inscrit à la fois dans une logique de souveraineté sanitaire et de sécurisation des flux d’approvisionnements. L’optimisation de la production et de la chaine de distribution permettra de rester compétitif sur l’attribution des marchés publics vis-à-vis des fournisseurs asiatiques.;Relocalisation;2021-06-18;Santé;;76.0;NORMANDIE
SAIMAP VIENNOT SAS;TPE / PME;439533902;Verdissement;Modernisation de la filière aéronautique;EURE-ET-LOIR;SAINT-LUBIN-DES-JONCHERETS;28350;48.75864978008864, 1.207774268775527;Saimap Viennot est une entreprise spécialisée dans la transformation des plastiques hautes performances pour l’industrie aéronautique, spatiale, de la défense, de la chimie, de l’automobile et du ferroviaire. Saimap Viennot produit notamment des pièces usinées, injectées et moulées par compression. Les clients de Saimap Viennot sont des groupes industriels tels que Airbus, Dassault Aviation ou MBDA. L’entreprise souhaite maintenir sa compétitivité face à ses concurrents, en modernisant son outil de production. Avec ce projet, Saimap Viennot a pour objectif de moderniser son outil de production via l’acquisition de machines-outils numériques et de diversifier sa production vers des produits d’étanchéité, tout en travaillant sur l'amélioration de l’impact environnemental de l’outil de production.;Aéronautique;2021-06-18;Aéronautique;;28.0;CENTRE-VAL DE LOIRE
SAMO SAS;TPE / PME;344944178;Verdissement;Modernisation de la filière automobile;HAUTE-SAVOIE;MANOSQUE;74130;46.073734752047486, 6.437878899831893;"Initialement spécialisé dans le rétrofit de machines-outils principalement pour le marché de l’automobile, SAMO est devenu une référence au niveau international dans la remise en état et l’amélioration des machines-outils ainsi que dans la numérisation des machines à cames. 
Afin de se positionner sur les marchés des véhicules hybrides et électriques, le projet d’investissement de SAMO va permettre de :
•	Moderniser le parc machine, notamment par une démarche d’investissement sur des machines de haute performance afin de fabriquer des pièces complexes ;
•	Conquérir de nouveaux marchés avec son produit propre ;";Automobile;2021-02-10;Automobile;;74.0;AUVERGNE-RHÔNE-ALPES
ECLAIRAGE ROGER PRADIER;TPE / PME;775721343;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;INDRE;SAINT-MAUR;36250;46.78926800189991, 1.659820049273983;Fondée en 1910, l’entreprise Roger Pradier est un acteur français incontournable du luminaire d’extérieur. Le projet d’investissement s'oriente autour des axes de modernisation des procédés de production, d'internalisation du traitement de certains produits et de la rationalisation et optimisation de la gestion des flux. Ces investissements permettront de à l’entreprise de s’affranchir de fournisseurs étrangers et donc de structurer la filière française. Ces nouveaux procédés réduiront également significativement l’empreinte écologique de l’entreprise.  Ceci contribuera à pérenniser les 50 emplois de la production locale mais aussi de recruter 4 nouvelles personnes.et les 130 emplois sur le site de Gien;Projets territoriaux;2021-03-02;Construction;;36.0;CENTRE-VAL DE LOIRE
MIGNON CHAUDRONNERIE ET TECHNOLOGIE INDUSTRIELLE;TPE / PME;519127419;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;MORBIHAN;HENNEBONT;56700;47.807556604, -3.26971559866;;Projets territoriaux;2021-03-02;Agroalimentaire;;56.0;BRETAGNE
NEMO BATIMENT;TPE / PME;1120021;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;NOUVELLE-CALÉDONIE;PAITA;98890;;;Projets territoriaux;2021-11-09;Construction;;98.0;NOUVELLE-CALÉDONIE
PETIT-BATEAU;ETI;542880125;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;AUBE;TROYES;10000;48.30351439596988, 4.0550851538757335;Le projet vise à transformer le site industriel historique troyen de Petit Bateau en une plateforme régionale de production à la demande, vitrine du textile 4.0 en France. Cette plateforme, se matérialise par un centre de production robotisé et connecté, mutualisable avec d'autres acteurs régionaux de la maille pour produire de manière collaborative et extrêment réactive. Ne fabriquer que le nécessaire et au bon moment est bien le seul levier d'une relocalisation massive et pérenne des emplois textiles en France. En plus d'accroître notre compétitivité, la production à la demande diminue drastiquement l'empreinte environnementale du textile en visant le 0 déchet.;Projets territoriaux;2021-03-02;Mode et Luxe;;10.0;GRAND EST
OVALIE INNOVATION;GE;501199368;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;GERS;AUTERIVE;32550;43.5796421888, 0.632117026282;Ovalie Innovation est spécialisée dans l’élaboration de nouveaux produits issus de l’agriculture. L’entreprise souhaite créer un atelier pré-industriel de production d’ingrédients à forte valeur ajoutée à destination des industriels des filières agroalimentaire, pharmaceutique, cosmétique, et de la nutrition. Les premières productions concernent les marchés de la nutrition animale et humaine avec des dérivés d’insectes (farine protéinée et huile), le marché de l’agriculture (coproduit élevage d’insectes), la cosmétique et la nutraceutique (huile et tourteau de coriandre). En parallèle, les outils installés permettront à l’entreprise de poursuivre ses travaux de recherche et développement dans le domaine de la bioéconomie afin de travailler sur de nouvelles valorisations de nos productions agricoles ainsi que des coproduits issus des productions primaires ou de l’industrie agroalimentaire.;Relocalisation;2021-10-26;Agroalimentaire;;32.0;OCCITANIE
THALES;GE;428677124;Indépendance / Compétitivité;(Re)localisation dans les secteurs critiques;ALPES-MARITIMES;ANTIBES;6160;43.58016216003589, 7.122699753051102;Le projet Beyond 5G propose principalement des solutions techniques au développement de réseaux souverains et sécurisés 5G/post 5G. Il articule ces solutions aux besoins des secteurs utilisateurs par un effort soutenu en R&D, un interfaçage R&D/besoins des utilisateurs (plateformes d’expérimentation). Il contribue au développement d’un écosystème recherche-expérimentation propice aux innovations nécessaires et adaptés aux enjeux d’une industrie résiliente et souveraine.;Relocalisation;2021-02-01;Télécommunications 5G;;6.0;PROVENCE-ALPES-CÔTE D'AZUR
PILLIVUYT;TPE / PME;440717874;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;CHER;MEHUN-SUR-YÈVRE;18500;47.1356637883, 2.22043045347;Dans le cadre de sa volonté de développement post Covid Pillivuyt a engagé, notamment avec l'aide d'un consultant BPI, une réflexion sur la stratégie globale de l'entreprise. 4 points sont apparus indispensables dont l'adaptation de notre outil industriel. Notre outil actuel est vieillissant, peu automatisé, énergivore. Une 1ère phase d'investissement vient d'être engagée avec l'achat d'un nouvel outil de cuisson. La 2de phase qui est concernée par cette demande de subvention prévoit l'investissement d'une ligne complète robotisée et numérisée de pressage, de finition, d'émaillage de pièces en porcelaine de toutes tailles. Cet investissement permettrait de doubler notre productivité sur les articles concernés.;Projets territoriaux;2021-03-02;Chimie et Matériaux;;18.0;CENTRE-VAL DE LOIRE
SANIPRO;TPE / PME;389636002;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;Oise;Brégy;60440;49.0895785618, 2.87413951706;"L'entreprise SANIPRO appartient au groupe MOTELEC, principal sous-traitant de la société SFA leader mondial du marché des sanibroyeurs (dont 80% à l’export) depuis plus de 60 ans. Son activité est l'assemblage de tous les éléments de sanibroyeurs ou de pompes de relevage et livre un produit fini, prêt à la vente. L'usine de production située sur la zone industrielle historique de Brégy (Oise) est constituée de 5 lignes d'assemblage qui nécessitent toutes d'être modernisées afin de rester compétitive face à la concurrence asiatique tout en maintenant une production 'made in France'. Ainsi le projet qui consiste à mener un ambitieux programme de modernisation de lignes de production de la société SANIPRO, inscrira l'entreprise dans une démarche ""Usine du futur"" ce qui permettra d'améliorer la compétitivité, d'augmenter le chiffre d'affaires afin de pérenniser l'activité de production et de consolider cette filière qui est le reflet du savoir-faire français sur le marché mondial des sanibroyeurs.";Projets territoriaux;2022-01-27;Construction;;60.0;Hauts-de-France
